group,replicate,fastq_1,fastq_2
SRR13815936,1,SRR13815936/SRR13815936_1.fastq.gz,SRR13815936/SRR13815936_2.fastq.gz
SRR13815937,1,SRR13815937/SRR13815937_1.fastq.gz,SRR13815937/SRR13815937_2.fastq.gz
SRR13815938,1,SRR13815938/SRR13815938_1.fastq.gz,SRR13815938/SRR13815938_2.fastq.gz
SRR13815939,1,SRR13815939/SRR13815939_1.fastq.gz,SRR13815939/SRR13815939_2.fastq.gz
SRR13815940,1,SRR13815940/SRR13815940_1.fastq.gz,SRR13815940/SRR13815940_2.fastq.gz
SRR13815941,1,SRR13815941/SRR13815941_1.fastq.gz,SRR13815941/SRR13815941_2.fastq.gz
SRR13815942,1,SRR13815942/SRR13815942_1.fastq.gz,SRR13815942/SRR13815942_2.fastq.gz
SRR13815943,1,SRR13815943/SRR13815943_1.fastq.gz,SRR13815943/SRR13815943_2.fastq.gz
SRR13815944,1,SRR13815944/SRR13815944_1.fastq.gz,SRR13815944/SRR13815944_2.fastq.gz
SRR13815945,1,SRR13815945/SRR13815945_1.fastq.gz,SRR13815945/SRR13815945_2.fastq.gz
SRR13815946,1,SRR13815946/SRR13815946_1.fastq.gz,SRR13815946/SRR13815946_2.fastq.gz
SRR13815947,1,SRR13815947/SRR13815947_1.fastq.gz,SRR13815947/SRR13815947_2.fastq.gz
SRR13815948,1,SRR13815948/SRR13815948_1.fastq.gz,SRR13815948/SRR13815948_2.fastq.gz
SRR13815949,1,SRR13815949/SRR13815949_1.fastq.gz,SRR13815949/SRR13815949_2.fastq.gz
SRR13815950,1,SRR13815950/SRR13815950_1.fastq.gz,SRR13815950/SRR13815950_2.fastq.gz
SRR13815951,1,SRR13815951/SRR13815951_1.fastq.gz,SRR13815951/SRR13815951_2.fastq.gz
SRR13815952,1,SRR13815952/SRR13815952_1.fastq.gz,SRR13815952/SRR13815952_2.fastq.gz
SRR13815953,1,SRR13815953/SRR13815953_1.fastq.gz,SRR13815953/SRR13815953_2.fastq.gz
SRR13815954,1,SRR13815954/SRR13815954_1.fastq.gz,SRR13815954/SRR13815954_2.fastq.gz
SRR13815955,1,SRR13815955/SRR13815955_1.fastq.gz,SRR13815955/SRR13815955_2.fastq.gz
SRR13815956,1,SRR13815956/SRR13815956_1.fastq.gz,SRR13815956/SRR13815956_2.fastq.gz
SRR13815957,1,SRR13815957/SRR13815957_1.fastq.gz,SRR13815957/SRR13815957_2.fastq.gz
SRR13815958,1,SRR13815958/SRR13815958_1.fastq.gz,SRR13815958/SRR13815958_2.fastq.gz
SRR13815959,1,SRR13815959/SRR13815959_1.fastq.gz,SRR13815959/SRR13815959_2.fastq.gz
SRR13815960,1,SRR13815960/SRR13815960_1.fastq.gz,SRR13815960/SRR13815960_2.fastq.gz
SRR13815961,1,SRR13815961/SRR13815961_1.fastq.gz,SRR13815961/SRR13815961_2.fastq.gz
